序号,区县,街乡,名称,地址,联系电话,简介
1,朝阳区,金盏乡,朝阳水产科技园,北京市朝阳区金盏乡,,朝阳水产科技园位于北京东部朝阳区金盏乡境内，是朝阳区“都市农业”建设重点项目，园区占地430亩，拥有养殖水面230亩，分为水产养殖区、孵化区、垂钓区、娱乐休闲区四个部分。水产科技园环境优美，空气清新，是市民休闲体验的好去处。园内建有1200平方米的高标准孵化池，园区繁育的优质鱼苗成活率高，鱼苗整齐一致，体质强，非常适合鱼的繁殖，深受广大养殖户的欢迎。园内建成了代表水产养殖最高水平的2000平方米的工厂化养殖车间，可确保10万公斤苗种安全越冬。园区配套建设了能同时供400人垂钓的垂钓区，并建有2500平方米的垂钓宫一座，可四季进行垂钓。园内同时建有羽毛球、沙狐球、乒乓球的健身设施。园区可同时提供200人就餐的特色餐厅，餐饮设施齐全，价格合理。园区还建有80个床位的标准客房。住宿环境幽雅，服务质量一流。园区为广大垂钓爱好者和宾客提供了舒适的休闲娱乐场所。
2,海淀区,颐和园路,柳浪庄公园,北京市海淀区六郎庄西口甲1号,,柳浪庄公园地处颐和园东墙外，西、北紧邻颐和园，南邻柳浪游泳场，东边是万柳高尔夫球场。周边环境优美，交通便利，园内小桥流水，林荫小路，空气清新宜人，绿树成荫，是休闲娱乐的好去处。
3,海淀区,西北旺镇西玉河村,海北绿园,北京市海淀区西北旺镇西玉河村村南,,海北绿园位于海淀区西北旺镇西玉河村村南，占地面积103亩。集垂钓、蔬菜采摘、特种养殖和乡村度假于一体的高效休闲农业园区。
4,丰台区,王佐镇南宫村,南宫温泉垂钓中心,北京市丰台区王佐镇南宫村,85341080,南宫温泉垂钓中心位于南宫世界地热博览园内，紧邻南宫苑公园，整体环境幽雅宁静，其主体设计采用圆拱形彩钢屋顶，高大宽敞，气势雄伟。室内夏季采用中央空调致冷，冬季采用地板辐射采暖，设施先进，国内一流；功能上设有普通垂钓池五个，高档垂钓池两个，同时设有国内少见的摸鱼馆和叉鱼馆各一个，并为儿童专设了金鱼垂钓馆。
5,顺义区,马坡镇衙门村,马坡垂钓宫,北京市顺义区马坡镇衙门村,69404538,"马坡垂钓宫位于顺义区境马坡镇的西侧，距北京30公里,地理位置优越。垂钓宫东侧1.5公里处是我国最大的乡村高尔夫球场及乡村赛马场。垂钓宫占地面积110亩，室外渔塘占地70亩，室内渔池面积6700平方米，为垂钓者提供多种鱼类。力求建成一个集垂钓、娱乐、健身、餐饮、住宿为一体的综合性服务体系。"
6,昌平区,小汤山镇讲礼村西,红栌生态渔业园,北京市昌平区小汤山镇南1公里,69746260,红栌生态渔业园是目前京郊集采摘、垂钓、休闲、娱乐、观光为一体的高郊农业园，占地面积1000亩，位于温榆河畔，地处蓍名的小汤山温泉区。
7,昌平区,小汤山镇常兴庄村,常兴垂钓中心,北京市昌平区小汤山镇常兴庄村南,,常兴垂钓中心地处著名的小汤山温泉区，面对温榆河水，后临京密甘泉，是明、清帝王的沐浴行宫，有“上风上水”的美誉，一年四季空气质量一级。垂直中心占地150亩，位于北京市小汤山现代农业科技示范园区内，是以养殖、存储、垂钓、加工、销售、餐饮、娱乐、休闲度假为一体的综合企业。为适应各种竞技垂钓比赛，该渔场与中钓协合作，重新修整了四口比赛鱼池，其中两口为钓鲫池，两口为钓混合鱼池。
8,大兴区,黄村镇,丽源垂钓园,北京市大兴区芦城工业开发区对面50米,,丽源垂钓园占地面积50亩，提供观光、垂钓、餐饮、住宿，一年四季开放。
9,大兴区,黄村镇,长春垂钓园,北京市大兴区黄村镇西芦城村,,长春垂钓园占地面积30亩，四周绿树成荫，是休闲垂钓的好去处。
10,怀柔区,慕田峪旅游渡假区,龙淼垂钓园,北京市怀柔区慕田峪旅游渡假区西三村路口,89107553,龙淼垂钓园位于怀柔区慕田峪旅游渡假区途中，距北京55公里，是您休闲、住宿、午休、用餐、垂钓、娱乐、采摘回归自然的好地方。庄园经过多年来的精心打造，如今已形成一定规模，分为北场和南场两部分，北场主要用于天然种植生态园。南场于2000年正式开始对外营业，除生态种植外，还设有休闲度假区。主要项目有：垂钓、采摘、娱乐、餐饮、住宿休闲，另外，为了给游客提供更好的休闲、度假场所，庄园内还建有餐饮、住宿区，可同时接待400人同时就餐，80人住宿，100人的会议。在这里您可以品尝到自己种植的蔬菜、水果和粮食，体味回归自然的农家乐趣，感受绿色新的生活！庄园内设有养殖区，有火鸡、孔雀、农家柴鸡、野兔等可供观赏食用，也可为您饲养爱心小宠物。提供自带宠物的休闲场所，让你的爱宠在大自然的环境下自由玩耍！
11,怀柔区,慕田峪旅游渡假区,慕田峪渔村,北京市怀柔区慕田峪长城脚下约一公里,61626040,"慕田峪渔村四面环山，风景秀丽。位于北京怀柔慕田峪长城脚下约一公里处，总体占地面积约1万多平米,是一家以旅游住宿、餐饮休息、休闲娱乐为一体的综合性农家渔村。主要经营怀柔特产的：虹鳟鱼、三纹鱼、鲟鱼、金鳟鱼等各种鱼类产品，并能垂钓及加工制作成几十种不同的乡间美味。游客上山还能采集到绿色新鲜山野菜,吃到农家的大柴锅贴饼子、焖小鱼、山鸡、野兔、山蘑菇、特色烧烤虹鳟鱼、羊腿等农村野味及家常菜等。并让您吃的好花钱少,欢迎您来坐坐！"
12,怀柔区,雁栖镇,长园鱼场,北京市怀柔区雁栖镇虹鳟鱼一条沟001号,61627120,位于雁栖镇虹鳟鱼一条沟的长园鱼场“虹鳟鱼垂钓烧烤点001号”，园内有一座建筑面积1480平米的住宿大楼，内设有标准间，套房能同时接待100人住宿，房间内有热水、卫生间、电视、空调。我们以最优惠的价格、优质的服务，让您在这里感到温馨和舒适家一般的感觉。
13,怀柔区,桥梓镇苏峪口水库,锦绣垂钓山庄,北京市怀柔区桥梓镇苏峪口水库,,锦绣垂钓山庄是日夜开放的新型垂钓场，位于桥梓镇苏峪口水库，依山傍水，果木环抱，距怀柔城区约10公里，距东直门约50公里，如由市中心出发，1小时车程可顺利抵达。自1995年开业以来，以空气清新、环境优美、鱼源充足无污染而吸引了大批垂钓爱好者。水库水面面积150亩，清泉喷涌，水深适中，最适宜日夜钓。库内鱼源充足，除多年生十斤以上的大鱼深藏库中外，山庄还定时投放鲤、草、鲫、鲢、鲶等成鱼。钓场占据整个水库，特有的水上钓屋和穿梭接送的小艇，能够让您享受到世外桃源般的垂钓乐趣。山庄内设有餐厅、客房等设施，可为您提供住宿和鲜鱼烹饪服务。团体活动还可以点烧篝火、野外烧烤，别有情趣。
14,密云县,河南寨镇渔家台村,北京林泉岗农业休闲观光垂钓园,北京市密云县南山滑雪场脚下,89093828,"林泉岗鑫休闲垂钓园位于南山滑雪场脚下,是密云县旅游护照使用定点单位、五好民俗户、密云""鱼王""垂钓节定点单位,果园面积120亩,有休闲垂钓鱼池3座,面积10亩,放有鲤鱼、草鱼、鲶鱼、红鳟鱼、武昌鱼、鲫鱼,客房50间,歌厅一座,可同时接纳300人就餐，是集垂钓、餐饮、采摘于一体的观光休闲为主的综合单位。园区果品采用山泉水浇灌,所产果品甘甜、酥脆,是无公害的绿色食品."
